date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:17:13	252464/252464	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Dec%202022%2013:17:11%20GMT	https://www.feel-digital.co.uk/	C:/Users/Programmer/Desktop/WebSite/www.feel-digital.co.uk/index.html	(from )
15:17:13	122/122	---M-Z	200	added ('OK')	text/plain	etag:%227d-5bb61d0c0d56a-gzip%22	https://www.feel-digital.co.uk/robots.txt		(from )
15:17:13	199/199	---M--	403	error ('Forbidden')	text/html	date:Thu,%2029%20Dec%202022%2013:17:12%20GMT	https://www.feel-digital.co.uk/o,baseURI	C:/Users/Programmer/Desktop/WebSite/www.feel-digital.co.uk/o,baseURI	(from https://www.feel-digital.co.uk/)
15:17:14	108672/108672	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Dec%202022%2013:17:13%20GMT	https://www.feel-digital.co.uk/GET	C:/Users/Programmer/Desktop/WebSite/www.feel-digital.co.uk/GET	(from https://www.feel-digital.co.uk/)
15:17:15	8424/8424	---MCZ	200	added ('OK')	application/json	date:Thu,%2029%20Dec%202022%2013:17:13%20GMT	https://www.feel-digital.co.uk/wp-json/wp/v2/pages/5	C:/Users/Programmer/Desktop/WebSite/www.feel-digital.co.uk/wp-json/wp/v2/pages/5.json	(from https://www.feel-digital.co.uk/)
15:17:15	108672/108672	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Dec%202022%2013:17:14%20GMT	https://www.feel-digital.co.uk/Edge/	C:/Users/Programmer/Desktop/WebSite/www.feel-digital.co.uk/Edge/index.html	(from https://www.feel-digital.co.uk/)
15:17:15	146/146	---M--	403	error ('Forbidden')	text/html	date:Thu,%2029%20Dec%202022%2013:17:14%20GMT	https://www.feel-digital.co.uk/xmlrpc.php?rsd	C:/Users/Programmer/Desktop/WebSite/www.feel-digital.co.uk/xmlrpc.30db0.delayed	(from https://www.feel-digital.co.uk/)
15:17:15	185560/185560	---MCZ	200	added ('OK')	application/json	date:Thu,%2029%20Dec%202022%2013:17:14%20GMT	https://www.feel-digital.co.uk/wp-json/	C:/Users/Programmer/Desktop/WebSite/www.feel-digital.co.uk/wp-json/index.html	(from https://www.feel-digital.co.uk/)
15:17:15	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-5bb5f1ab2f162-gzip%22	https://www.feel-digital.co.uk/wp-includes/wlwmanifest.xml	C:/Users/Programmer/Desktop/WebSite/www.feel-digital.co.uk/wp-includes/wlwmanifest.xml	(from https://www.feel-digital.co.uk/)
15:17:16	2534/2534	---MCZ	200	added ('OK')	application/json	date:Thu,%2029%20Dec%202022%2013:17:15%20GMT	https://www.feel-digital.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.feel-digital.co.uk%2F	C:/Users/Programmer/Desktop/WebSite/www.feel-digital.co.uk/wp-json/oembed/1.0/embedd8f8.json	(from https://www.feel-digital.co.uk/)
15:17:16	2620/2620	---M-Z	200	added ('OK')	text/xml	date:Thu,%2029%20Dec%202022%2013:17:15%20GMT	https://www.feel-digital.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.feel-digital.co.uk%2F&format=xml	C:/Users/Programmer/Desktop/WebSite/www.feel-digital.co.uk/wp-json/oembed/1.0/embed1c3f	(from https://www.feel-digital.co.uk/)
15:17:17	220/220	---M--	200	added ('OK')	image/png	etag:%22632d770c-165%22	https://cdn-bhefn.nitrocdn.com/JvwMKMeIbFASwXbJrfsgCJYzeDMigYsq/assets/static/optimized/rev-e1b3a1c/wp-content/uploads/2020/10/cropped-favicon-32x32.png	C:/Users/Programmer/Desktop/WebSite/cdn-bhefn.nitrocdn.com/JvwMKMeIbFASwXbJrfsgCJYzeDMigYsq/assets/static/optimized/rev-e1b3a1c/wp-content/uploads/2020/10/cropped-favicon-32x32.png	(from https://www.feel-digital.co.uk/)
15:17:17	1030/1030	---M--	200	added ('OK')	image/png	etag:%22632d770c-491%22	https://cdn-bhefn.nitrocdn.com/JvwMKMeIbFASwXbJrfsgCJYzeDMigYsq/assets/static/optimized/rev-e1b3a1c/wp-content/uploads/2020/10/cropped-favicon-192x192.png	C:/Users/Programmer/Desktop/WebSite/cdn-bhefn.nitrocdn.com/JvwMKMeIbFASwXbJrfsgCJYzeDMigYsq/assets/static/optimized/rev-e1b3a1c/wp-content/uploads/2020/10/cropped-favicon-192x192.png	(from https://www.feel-digital.co.uk/)
